Date,Open,High,Low,Close,Adj Close,Volume
2017-02-27,7250.0,7270.0,7130.0,7220.0,7220.0,16906708
2017-02-28,7295.0,7340.0,7225.0,7225.0,7225.0,9211716
2017-03-01,7305.0,7450.0,7255.0,7440.0,7440.0,20418924
2017-03-02,7610.0,7645.0,7560.0,7560.0,7560.0,16226602
2017-03-03,7550.0,7580.0,7430.0,7490.0,7490.0,12071690
2017-03-06,7440.0,7445.0,7390.0,7415.0,7415.0,7982952
2017-03-07,7385.0,7420.0,7375.0,7390.0,7390.0,5717474
2017-03-08,7380.0,7380.0,7280.0,7320.0,7320.0,8686156
2017-03-09,7390.0,7395.0,7330.0,7380.0,7380.0,6791192
2017-03-10,7480.0,7610.0,7460.0,7605.0,7605.0,15313364
2017-03-13,7545.0,7635.0,7530.0,7610.0,7610.0,8048388
2017-03-14,7630.0,7630.0,7590.0,7600.0,7600.0,5969406
2017-03-15,7540.0,7575.0,7515.0,7575.0,7575.0,6467470
2017-03-16,7480.0,7605.0,7470.0,7585.0,7585.0,11586148
2017-03-17,7505.0,7545.0,7495.0,7525.0,7525.0,8329182
2017-03-21,7435.0,7500.0,7380.0,7475.0,7475.0,9575766
2017-03-22,7205.0,7260.0,7140.0,7155.0,7155.0,18429230
2017-03-23,7175.0,7205.0,7100.0,7185.0,7185.0,11942382
2017-03-24,7175.0,7345.0,7160.0,7320.0,7320.0,13095716
2017-03-27,7170.0,7185.0,7060.0,7090.0,7090.0,14059984
2017-03-28,7225.0,7260.0,7190.0,7255.0,7255.0,12742376
2017-03-29,7365.0,7400.0,7330.0,7365.0,7365.0,10767860
2017-03-30,7330.0,7380.0,7240.0,7250.0,7250.0,9694930
2017-03-31,7345.0,7370.0,7155.0,7155.0,7155.0,13481298
2017-04-03,7190.0,7265.0,7150.0,7210.0,7210.0,8334330
2017-04-04,7155.0,7175.0,6985.0,7075.0,7075.0,17404212
2017-04-05,7130.0,7165.0,7035.0,7110.0,7110.0,11486244
2017-04-06,7020.0,7050.0,6855.0,6905.0,6905.0,21783562
2017-04-07,7000.0,7040.0,6835.0,6955.0,6955.0,29060948
2017-04-10,7050.0,7090.0,7020.0,7050.0,7050.0,10132592
2017-04-11,6985.0,7030.0,6945.0,7005.0,7005.0,9413812
2017-04-12,6895.0,6905.0,6795.0,6855.0,6855.0,14144376
2017-04-13,6755.0,6800.0,6685.0,6775.0,6775.0,17947780
2017-04-14,6720.0,6765.0,6675.0,6705.0,6705.0,9566104
2017-04-17,6635.0,6725.0,6625.0,6725.0,6725.0,11968520
2017-04-18,6825.0,6860.0,6725.0,6770.0,6770.0,11527978
2017-04-19,6705.0,6805.0,6695.0,6785.0,6785.0,9511712
2017-04-20,6785.0,6845.0,6770.0,6785.0,6785.0,8521624
2017-04-21,6880.0,6935.0,6850.0,6920.0,6920.0,11947322
2017-04-24,7110.0,7125.0,7075.0,7105.0,7105.0,16587086
2017-04-25,7090.0,7285.0,7085.0,7255.0,7255.0,17945720
2017-04-26,7350.0,7415.0,7330.0,7415.0,7415.0,16654790
2017-04-27,7350.0,7405.0,7345.0,7390.0,7390.0,11647014
2017-04-28,7375.0,7400.0,7320.0,7345.0,7345.0,10452252
2017-05-01,7355.0,7430.0,7350.0,7425.0,7425.0,8021738
2017-05-02,7455.0,7550.0,7450.0,7535.0,7535.0,14195994
2017-05-08,7750.0,7915.0,7740.0,7885.0,7885.0,24676742
2017-05-09,7900.0,7905.0,7840.0,7850.0,7850.0,11402976
2017-05-10,7885.0,7920.0,7855.0,7895.0,7895.0,12982042
2017-05-11,7925.0,7960.0,7890.0,7950.0,7950.0,11551776
2017-05-12,7890.0,7920.0,7815.0,7885.0,7885.0,13979958
2017-05-15,7785.0,7865.0,7775.0,7855.0,7855.0,8972484
2017-05-16,7920.0,7965.0,7860.0,7895.0,7895.0,10071714
2017-05-17,7815.0,7845.0,7780.0,7815.0,7815.0,14424318
2017-05-18,7600.0,7655.0,7535.0,7615.0,7615.0,20190636
2017-05-19,7645.0,7670.0,7565.0,7650.0,7650.0,13855800
2017-05-22,7710.0,7745.0,7660.0,7710.0,7710.0,8432562
2017-05-23,7680.0,7720.0,7635.0,7655.0,7655.0,6716474
2017-05-24,7785.0,7795.0,7720.0,7765.0,7765.0,8055440
2017-05-25,7745.0,7845.0,7735.0,7815.0,7815.0,9946268
2017-05-26,7800.0,7800.0,7710.0,7715.0,7715.0,7680478
2017-05-29,7715.0,7755.0,7665.0,7720.0,7720.0,5227504
2017-05-30,7710.0,7715.0,7620.0,7710.0,7710.0,9074332
2017-05-31,7660.0,7705.0,7635.0,7685.0,7685.0,5145122
2017-06-01,7705.0,7870.0,7705.0,7850.0,7850.0,14499212
2017-06-02,7920.0,8150.0,7920.0,8125.0,8125.0,25651498
2017-06-05,8055.0,8140.0,8035.0,8105.0,8105.0,13053296
2017-06-06,8070.0,8080.0,7915.0,7930.0,7930.0,14195180
2017-06-07,7930.0,7980.0,7885.0,7950.0,7950.0,8577852
2017-06-08,8000.0,8010.0,7875.0,7890.0,7890.0,10386990
2017-06-09,7935.0,8045.0,7900.0,7965.0,7965.0,12908230
2017-06-12,7890.0,7920.0,7830.0,7890.0,7890.0,8920368
2017-06-13,7850.0,7900.0,7835.0,7880.0,7880.0,5792692
2017-06-14,7940.0,7965.0,7865.0,7865.0,7865.0,6843626
2017-06-15,7815.0,7935.0,7760.0,7820.0,7820.0,12607744
2017-06-16,7895.0,7965.0,7870.0,7905.0,7905.0,10250472
2017-06-19,7925.0,8020.0,7905.0,8005.0,8005.0,9440034
2017-06-20,8130.0,8205.0,8130.0,8135.0,8135.0,15069770
2017-06-21,8100.0,8125.0,8045.0,8060.0,8060.0,11501206
2017-06-22,8065.0,8105.0,8030.0,8045.0,8045.0,7154584
2017-06-23,8065.0,8070.0,8025.0,8060.0,8060.0,6485688
2017-06-26,8045.0,8110.0,8045.0,8070.0,8070.0,5023808
2017-06-27,8145.0,8150.0,8100.0,8130.0,8130.0,8259024
2017-06-28,8085.0,8150.0,8060.0,8075.0,8075.0,7737080
2017-06-29,8180.0,8195.0,8125.0,8140.0,8140.0,8870436
2017-06-30,8000.0,8005.0,7925.0,7990.0,7990.0,17619372
2017-07-03,8005.0,8045.0,7990.0,8015.0,8015.0,7877028
